Date,Close,High,Low,Open,Volume,,,
,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,return,access
3/2/2021,3870.290039,3906.409912,3868.570068,3903.639893,5536010000,,-0.008543271,negative
3/3/2021,3819.719971,3874.469971,3818.860107,3863.98999,6173660000,,-0.011457074,negative
3/4/2021,3768.469971,3843.669922,3723.340088,3818.530029,7195400000,,-0.013109772,negative
3/5/2021,3841.939941,3851.689941,3730.189941,3793.580078,6851070000,,0.012747817,positive
3/8/2021,3821.350098,3881.060059,3819.25,3844.389893,5871710000,,-0.005993095,negative
3/9/2021,3875.439941,3903.76001,3851.929932,3851.929932,5513560000,,0.006103437,positive
3/10/2021,3898.810059,3917.350098,3885.72998,3891.98999,5847380000,,0.001752335,positive
3/11/2021,3939.340088,3960.27002,3915.540039,3915.540039,5312880000,,0.006078357,positive
3/12/2021,3943.340088,3944.98999,3915.209961,3924.52002,4476280000,,0.004795508,positive
3/15/2021,3968.939941,3970.080078,3923.540039,3942.959961,4900100000,,0.006588954,positive
3/16/2021,3962.709961,3981.040039,3953.439941,3973.590088,4613080000,,-0.00273811,negative
3/17/2021,3974.120117,3983.870117,3935.73999,3949.570068,4561660000,,0.006215879,positive
3/18/2021,3915.459961,3969.620117,3910.860107,3953.5,5118590000,,-0.009621864,negative
3/19/2021,3913.100098,3930.120117,3886.75,3913.139893,7757420000,,-1.02E-05,negative
3/22/2021,3940.590088,3955.310059,3914.159912,3916.47998,4316260000,,0.006156066,positive
3/23/2021,3910.52002,3949.129883,3901.570068,3937.600098,4669010000,,-0.006877305,negative
3/24/2021,3889.139893,3942.080078,3889.070068,3919.929932,4783020000,,-0.007854742,negative
3/25/2021,3909.52002,3919.540039,3853.5,3879.340088,4948340000,,0.007779656,positive
3/26/2021,3974.540039,3978.189941,3917.120117,3917.120117,5483160000,,0.014658708,positive
3/29/2021,3971.090088,3981.830078,3943.25,3969.310059,4628180000,,0.000448448,positive
3/30/2021,3958.550049,3968.01001,3944.350098,3963.340088,4121510000,,-0.001208586,negative
3/31/2021,3972.889893,3994.409912,3966.97998,3967.25,4578050000,,0.001421613,positive
4/1/2021,4019.870117,4020.629883,3992.780029,3992.780029,4162130000,,0.006784768,positive
4/5/2021,4077.909912,4083.419922,4034.439941,4034.439941,4005030000,,0.010774722,positive
4/6/2021,4073.939941,4086.22998,4068.139893,4075.570068,4081270000,,-0.000399975,negative
4/7/2021,4079.949951,4083.129883,4068.310059,4074.290039,4120810000,,0.001389178,positive
4/8/2021,4097.169922,4098.189941,4082.540039,4089.949951,3907100000,,0.001765296,positive
4/9/2021,4128.799805,4129.47998,4095.51001,4096.109863,3640390000,,0.007980729,positive
4/12/2021,4127.990234,4131.759766,4114.819824,4124.709961,3588900000,,0.000795274,positive
4/13/2021,4141.589844,4148,4124.430176,4130.100098,3734720000,,0.002781953,positive
4/14/2021,4124.660156,4151.689941,4120.870117,4141.580078,3985350000,,-0.004085378,negative
4/15/2021,4170.419922,4173.490234,4139.759766,4139.759766,4033420000,,0.007406265,positive
4/16/2021,4185.470215,4191.310059,4170.75,4174.140137,4163820000,,0.00271435,positive
4/19/2021,4163.259766,4180.810059,4150.470215,4179.799805,3810290000,,-0.003957137,negative
4/20/2021,4134.939941,4159.180176,4118.379883,4159.180176,4342650000,,-0.005828128,negative
4/21/2021,4173.419922,4175.02002,4126.350098,4128.419922,3887250000,,0.010900054,positive
4/22/2021,4134.97998,4179.569824,4123.689941,4170.459961,4245140000,,-0.00850745,negative
4/23/2021,4180.169922,4194.169922,4138.779785,4138.779785,3569880000,,0.010000565,positive
4/26/2021,4187.620117,4194.189941,4182.359863,4185.029785,3748320000,,0.000618952,positive
4/27/2021,4186.720215,4193.350098,4176.220215,4188.25,3710700000,,-0.000365256,negative
4/28/2021,4183.180176,4201.529785,4181.779785,4185.140137,3787360000,,-0.000468314,negative
4/29/2021,4211.470215,4218.779785,4176.810059,4206.140137,4298680000,,0.001267214,positive
4/30/2021,4181.169922,4198.100098,4174.850098,4198.100098,4300880000,,-0.004032819,negative
5/3/2021,4192.660156,4209.390137,4188.029785,4191.97998,4070220000,,0.000162256,positive
5/4/2021,4164.660156,4179.040039,4128.589844,4179.040039,4452460000,,-0.003440954,negative
5/5/2021,4167.589844,4187.720215,4160.939941,4177.060059,4230920000,,-0.002267196,negative
5/6/2021,4201.620117,4202.700195,4147.330078,4169.140137,4511000000,,0.007790571,positive
5/7/2021,4232.600098,4238.040039,4201.640137,4210.339844,4016080000,,0.005287044,positive
5/10/2021,4188.430176,4236.390137,4188.129883,4228.290039,4560700000,,-0.009426946,negative
5/11/2021,4152.100098,4162.040039,4111.529785,4150.339844,4870710000,,0.000424123,positive
5/12/2021,4063.040039,4134.72998,4056.879883,4130.549805,4733070000,,-0.016344014,negative
5/13/2021,4112.5,4131.580078,4074.98999,4074.98999,4779540000,,0.009204933,positive
5/14/2021,4173.850098,4183.129883,4129.580078,4129.580078,4008880000,,0.010720223,positive
5/17/2021,4163.290039,4171.919922,4142.689941,4169.919922,4125050000,,-0.00158993,negative
5/18/2021,4127.830078,4169.149902,4125.990234,4165.939941,4398150000,,-0.009147963,negative
5/19/2021,4115.680176,4116.930176,4061.409912,4098.450195,4247450000,,0.004204023,positive
5/20/2021,4159.120117,4172.799805,4121.970215,4121.970215,3978880000,,0.009012657,positive
5/21/2021,4155.859863,4188.720215,4151.720215,4168.609863,3995250000,,-0.003058574,negative
5/24/2021,4197.049805,4209.52002,4170.160156,4170.160156,3684800000,,0.006448109,positive
5/25/2021,4188.129883,4213.419922,4182.52002,4205.939941,4182250000,,-0.004234501,negative
5/26/2021,4195.990234,4202.609863,4184.109863,4191.589844,4420890000,,0.001049814,positive
5/27/2021,4200.879883,4213.379883,4197.779785,4201.939941,6406310000,,-0.000252278,negative
5/28/2021,4204.109863,4218.359863,4203.569824,4210.77002,4649250000,,-0.001581696,negative
6/1/2021,4202.040039,4234.120117,4197.589844,4216.52002,5074670000,,-0.003434107,negative
6/2/2021,4208.120117,4217.370117,4198.27002,4206.819824,5833670000,,0.000309092,positive
6/3/2021,4192.850098,4204.390137,4167.930176,4191.430176,5587970000,,0.000338768,positive
6/4/2021,4229.890137,4233.450195,4206.049805,4206.049805,4139790000,,0.005668105,positive
6/7/2021,4226.52002,4232.339844,4215.660156,4229.339844,4476920000,,-0.000666729,negative
6/8/2021,4227.259766,4236.740234,4208.410156,4233.810059,4659620000,,-0.001547139,negative
6/9/2021,4219.549805,4237.089844,4218.740234,4232.990234,4713260000,,-0.003175162,negative
6/10/2021,4239.180176,4249.740234,4220.339844,4228.560059,4408210000,,0.002511521,positive
6/11/2021,4247.439941,4248.379883,4232.25,4242.899902,3815010000,,0.001070032,positive
6/14/2021,4255.149902,4255.589844,4234.069824,4248.310059,4151200000,,0.001610015,positive
6/15/2021,4246.589844,4257.160156,4238.350098,4255.279785,4048940000,,-0.002042155,negative
6/16/2021,4223.700195,4251.890137,4202.450195,4248.870117,4538350000,,-0.005923909,negative
6/17/2021,4221.859863,4232.290039,4196.049805,4220.370117,5312680000,,0.000352989,positive
6/18/2021,4166.450195,4204.779785,4164.399902,4204.779785,6817010000,,-0.009115719,negative
6/21/2021,4224.790039,4226.240234,4173.399902,4173.399902,4128950000,,0.012313734,positive
6/22/2021,4246.439941,4255.839844,4217.27002,4224.609863,3828390000,,0.00516736,positive
6/23/2021,4241.839844,4256.600098,4241.430176,4249.27002,3730350000,,-0.001748577,negative
6/24/2021,4266.490234,4271.279785,4256.970215,4256.970215,3816660000,,0.002236337,positive
6/25/2021,4280.700195,4286.120117,4271.160156,4274.450195,7341450000,,0.001462176,positive
6/28/2021,4290.609863,4292.140137,4274.669922,4284.899902,4147890000,,0.001332577,positive
6/29/2021,4291.799805,4300.52002,4287.040039,4293.209961,3707150000,,-0.000328462,negative
6/30/2021,4297.5,4302.430176,4287.959961,4290.649902,4266040000,,0.001596518,positive
7/1/2021,4319.939941,4320.660156,4300.72998,4300.72998,3788230000,,0.004466675,positive
7/2/2021,4352.339844,4355.430176,4326.600098,4326.600098,3225840000,,0.005949185,positive
7/6/2021,4343.540039,4356.459961,4314.370117,4356.459961,4309570000,,-0.002965693,negative
7/7/2021,4358.129883,4361.879883,4329.790039,4351.009766,4037380000,,0.001636429,positive
7/8/2021,4320.819824,4330.879883,4289.370117,4321.069824,4347500000,,-5.79E-05,negative
7/9/2021,4369.549805,4371.600098,4329.379883,4329.379883,3531120000,,0.009278447,positive
7/12/2021,4384.629883,4386.680176,4364.029785,4372.410156,3384460000,,0.002794735,positive
7/13/2021,4369.209961,4392.370117,4366.919922,4381.069824,3695430000,,-0.00270707,negative
7/14/2021,4374.299805,4393.680176,4362.359863,4380.109863,4006370000,,-0.001326464,negative
7/15/2021,4360.029785,4369.02002,4340.700195,4369.02002,3905230000,,-0.002057723,negative
7/16/2021,4327.160156,4375.089844,4322.529785,4367.430176,3985700000,,-0.00922053,negative
7/19/2021,4258.490234,4296.399902,4233.129883,4296.399902,5157660000,,-0.008823589,negative
7/20/2021,4323.060059,4336.839844,4262.049805,4265.109863,4438270000,,0.013587035,positive
7/21/2021,4358.689941,4359.700195,4331.129883,4331.129883,3810280000,,0.006363249,positive
7/22/2021,4367.47998,4369.870117,4350.060059,4361.27002,3358300000,,0.001423888,positive
