date,economy_avg_sent,fed_avg_sent,finance_avg_sent,inflation_avg_sent,interest rate_avg_sent,tech regulation_avg_sent,trade war_avg_sent,trump_avg_sent
12/27/2024,0.034326667,0.7783,-0.288175,-0.0029,-0.9738,0.4588,0.3377,0.186
12/28/2024,-0.30388,0.560633333,-0.0349,0.38475,-0.2732,0,0,0.032
12/29/2024,-0.06135,-0.390233333,-0.71345,0.482757143,0.7269,0,-0.6776,-0.03566
12/31/2024,-0.157669231,0,-0.765,0.2666,0,0,-0.269633333,-0.138107143
1/1/2025,-0.012081818,-0.7845,0.085266667,0,-0.8402,0,-0.5109,-0.116376923
1/2/2025,-0.024442857,-0.2016,0.5423,-0.5963,0.7039,0.15875,0.11465,-0.184736364
1/3/2025,0.043542857,0,-0.20848,0,0.4375,-0.8807,-0.3192,-0.13939697
1/4/2025,0.055375,-0.9042,0.4019,-0.7717,0,0,-0.513033333,-0.243635294
1/5/2025,-0.093857143,0.002733333,0.0272,0.024966667,-0.1027,0,0.098666667,-0.206871429
1/6/2025,-0.03705,-0.043,-0.26725,0,0,0.1779,0.5216,-0.142119444
1/7/2025,-0.212436364,0,0.30184,0,0,0,0,0
1/8/2025,0.08,-0.0238,0.37644,-0.416125,0,0.2869,-0.189733333,-0.006964865
1/9/2025,-0.1007,0,-0.068014286,0.47315,-0.1366,0,0.11315,-0.001794118
1/10/2025,0.023432,-0.067533333,0.1496625,-0.3324,-0.005633333,0,-0.1492,-0.071697917
1/11/2025,-0.2123,-0.1818,-0.02775,0.070833333,0,0,0,0.03524
1/12/2025,0.067125,-0.286366667,0.1901,0.2023,0,0,-0.1406,-0.0575625
1/13/2025,0.046983333,0.4201,0.341783333,0,-0.2202,0.8807,-0.255233333,0.024534483
1/14/2025,0.166314286,0,0.13726,0,0,0,0,0
1/15/2025,0.065925,0.3182,-0.0715,0,0,0,-0.1495,0.17755
1/16/2025,-0.040838095,0.3738,-0.150854545,0.1974,0,-0.09125,0.326,0.018633333
1/17/2025,-0.053627273,0.13295,0.325171429,-0.114125,0.9217,-0.5994,-0.28625,0.017153125
1/18/2025,-0.081125,0,-0.12762,0,-0.1244,0.6908,-0.6791,-0.044017647
1/19/2025,0.190933333,0.0772,0,0.1384,-0.2382,0.068033333,-0.36345,0.028020513
1/20/2025,-0.002654545,0.5818,0.489225,0.18336,0,0.02805,-0.051133333,0.120907692
